date,day,personnel,personnel*,POW
2022-02-25,2,2800,about,0
2022-02-26,3,4300,about,0
2022-02-27,4,4500,about,0
2022-02-28,5,5300,about,0
2022-03-01,6,5710,about,200
2022-03-02,7,5840,about,200
2022-03-03,8,9000,about,200
2022-03-04,9,9166,about,200
2022-03-05,10,10000,about,216
2022-03-06,11,11000,about,232
2022-03-07,12,11000,more,259
2022-03-08,13,12000,about,284
2022-03-09,14,12000,about,360
2022-03-10,15,12000,more,371
2022-03-11,16,12000,more,389
2022-03-12,17,12000,more,389
2022-03-13,18,12000,more,389
2022-03-14,19,12000,more,389
2022-03-15,20,13500,about,389
2022-03-16,21,13800,about,389
2022-03-17,22,14000,about,405
2022-03-18,23,14200,about,405
2022-03-19,24,14400,about,405
2022-03-20,25,14700,about,405
2022-03-21,26,15000,about,405
2022-03-22,27,15300,about,411
2022-03-23,28,15600,about,412
2022-03-24,29,15800,about,412
2022-03-25,30,16100,about,412
2022-03-26,31,16400,about,412
2022-03-27,32,16600,about,421
2022-03-28,33,17000,about,421
2022-03-29,34,17200,about,430
2022-03-30,35,17300,about,430
2022-03-31,36,17500,about,459
2022-04-01,37,17700,about,459
2022-04-02,38,17700,about,460
2022-04-03,39,18000,about,460
2022-04-04,40,18300,about,460
2022-04-05,41,18500,about,467
2022-04-06,42,18600,about,467
2022-04-07,43,18900,about,467
2022-04-08,44,19000,about,467
2022-04-09,45,19100,about,467
2022-04-10,46,19300,about,467
2022-04-11,47,19500,about,467
2022-04-12,48,19600,about,477
2022-04-13,49,19800,about,477
2022-04-14,50,19900,about,477
2022-04-15,51,20000,about,477
2022-04-16,52,20100,about,477
2022-04-17,53,20300,about,477
2022-04-18,54,20600,about,477
2022-04-19,55,20800,about,489
2022-04-20,56,20900,about,489
2022-04-21,57,21000,about,489
2022-04-22,58,21200,about,489
2022-04-23,59,21600,about,489
2022-04-24,60,21800,about,489
2022-04-25,61,21900,about,489
2022-04-26,62,22100,about,489
2022-04-27,63,22400,about,496
2022-04-28,64,22800,about,496
2022-04-29,65,23000,about,496
2022-04-30,66,23200,about,496
2022-05-01,67,23500,about,496
